iter	Logloss
0	0.6533217845
1	0.6167178107
2	0.5848989926
3	0.5587945753
4	0.5357851516
5	0.512223165
6	0.4944664317
7	0.4760685198
8	0.4618662919
9	0.4492531976
10	0.4368421206
11	0.4261487089
12	0.4155344424
13	0.406910576
14	0.3983509932
15	0.391652871
16	0.3858950391
17	0.380574207
18	0.3763912974
19	0.372512291
20	0.3692758074
21	0.3654027795
22	0.3611892997
23	0.3584245447
24	0.3553031183
25	0.3521139204
26	0.3500111279
27	0.3480412319
28	0.3458456779
29	0.343726413
30	0.3415746743
31	0.3403028374
32	0.3386405881
33	0.3366281409
34	0.3349968875
35	0.3340834095
36	0.3326273736
37	0.3316635573
38	0.3303020431
39	0.3291792857
40	0.3284022074
41	0.3274811664
42	0.3263104273
43	0.3254137115
44	0.3247044939
45	0.3238473513
46	0.3230678483
47	0.3220092101
48	0.3212904831
49	0.3208600181
50	0.3200636215
51	0.3193750574
52	0.31870241
53	0.3181453663
54	0.3175391898
55	0.3170092645
56	0.3163782975
57	0.3157252397
58	0.3152932423
59	0.3147373146
60	0.3141837752
61	0.3137971372
62	0.3133687302
63	0.3128674247
64	0.3124897565
65	0.3121463401
66	0.3118116308
67	0.3114316074
68	0.3110680815
69	0.3106435971
70	0.3102088652
71	0.3098973847
72	0.3094174695
73	0.3091062556
74	0.3086679493
75	0.308353485
76	0.3076624737
77	0.3073817004
78	0.3071783069
79	0.3069233397
80	0.3066698388
81	0.3063632861
82	0.3060418355
83	0.3058565508
84	0.3055033497
85	0.3052516246
86	0.3045065707
87	0.3042298341
88	0.3038875217
89	0.3032080684
90	0.3029604286
91	0.3027614998
92	0.302521574
93	0.3023201394
94	0.3021097733
95	0.3016752234
96	0.3013876108
97	0.3012141133
98	0.3010632926
99	0.3007954064
100	0.3005922304
101	0.3001607743
102	0.2999544705
103	0.2997720959
104	0.2995430131
105	0.2992958025
106	0.2991155594
107	0.2989672257
108	0.2987817914
109	0.298324167
110	0.2981638066
111	0.2980111403
112	0.2978411827
113	0.2976355978
114	0.2975221542
115	0.2973110934
116	0.2971341239
117	0.2970098928
118	0.296741577
119	0.2966039959
120	0.2964764317
121	0.2963402938
122	0.2961694952
123	0.2960494793
124	0.2958608727
125	0.2957483853
126	0.2951941838
127	0.2950199916
128	0.294838052
129	0.2946727547
130	0.294492956
131	0.2943483721
132	0.2941858486
133	0.2940054293
134	0.2938505899
135	0.2937154881
136	0.293610138
137	0.2934577279
138	0.2932165261
139	0.2930467395
140	0.2928991149
141	0.292523913
142	0.2923775493
143	0.292256043
144	0.2920580716
145	0.2919387596
146	0.2916760327
147	0.2915800403
148	0.2913604097
149	0.2911210383
150	0.2909663796
151	0.2907229891
152	0.2906577971
153	0.2905627435
154	0.2904557748
155	0.2902630355
156	0.2901780812
157	0.2900176579
158	0.2899035506
159	0.2897717221
160	0.2896363427
161	0.289534374
162	0.2894455685
163	0.2893536391
164	0.2892031115
165	0.2891450434
166	0.2890715733
167	0.288965569
168	0.288857743
169	0.288659042
170	0.2885300699
171	0.2884431356
172	0.28830577
173	0.2881529765
174	0.2880080724
175	0.2879332891
176	0.2878332635
177	0.2875773629
178	0.2874526807
179	0.2873161307
180	0.2871500697
181	0.2870563376
182	0.2867624276
183	0.2866450824
184	0.286526653
185	0.286408999
186	0.2861082072
187	0.2860285253
188	0.2857528942
189	0.2856756767
190	0.2855718871
191	0.2854934634
192	0.2853738552
193	0.2852571764
194	0.28502757
195	0.2849538367
196	0.2848469608
197	0.2846048536
