iter	Passed	Remaining
0	9	9430
1	16	8442
2	24	8010
3	31	7817
4	38	7604
5	45	7539
6	52	7457
7	59	7407
8	67	7377
9	74	7338
10	81	7324
11	88	7311
12	96	7289
13	103	7279
14	110	7277
15	118	7277
16	125	7266
17	132	7251
18	139	7227
19	148	7252
20	155	7270
21	165	7373
22	173	7380
23	180	7356
24	188	7343
25	195	7332
26	202	7309
27	210	7291
28	217	7266
29	224	7247
30	231	7231
31	238	7216
32	245	7201
33	253	7188
34	260	7174
35	267	7152
36	274	7137
37	281	7127
38	288	7114
39	295	7100
40	302	7081
41	310	7074
42	317	7070
43	325	7065
44	332	7055
45	339	7051
46	347	7046
47	355	7046
48	362	7029
49	369	7013
50	376	6997
51	383	6987
52	390	6980
53	397	6971
54	404	6954
55	411	6943
56	419	6932
57	426	6922
58	433	6912
59	440	6906
60	449	6916
61	456	6906
62	463	6891
63	470	6881
64	477	6868
65	489	6922
66	499	6962
67	509	6979
68	519	7003
69	528	7025
70	535	7011
71	543	6999
72	550	6986
73	557	6974
74	564	6967
75	573	6969
76	580	6959
77	587	6947
78	594	6934
79	601	6917
80	608	6904
81	616	6899
82	623	6889
83	630	6877
84	637	6867
85	644	6854
86	654	6866
87	661	6854
88	668	6846
89	675	6830
90	682	6820
91	689	6808
92	696	6792
93	703	6779
94	710	6767
95	717	6755
96	724	6743
97	731	6734
98	738	6720
99	745	6708
100	752	6697
101	759	6685
102	769	6699
103	776	6688
104	783	6678
105	790	6669
106	797	6659
107	804	6646
108	811	6635
109	818	6625
110	825	6614
111	832	6604
112	839	6593
113	846	6580
114	853	6567
115	860	6554
116	866	6543
117	873	6530
118	880	6520
119	887	6510
120	896	6514
121	903	6504
122	911	6495
123	917	6484
124	925	6475
125	932	6465
126	939	6456
127	948	6460
128	955	6453
129	965	6458
130	972	6449
131	978	6437
132	985	6425
133	992	6414
134	999	6405
135	1007	6398
136	1014	6388
137	1021	6381
138	1028	6373
139	1035	6363
140	1043	6354
141	1050	6344
142	1056	6334
143	1063	6324
144	1070	6313
145	1077	6304
146	1084	6294
147	1091	6284
148	1098	6273
149	1105	6263
150	1112	6255
151	1119	6245
152	1126	6234
153	1133	6224
154	1140	6217
155	1147	6208
156	1154	6197
157	1161	6188
158	1168	6179
159	1175	6170
160	1182	6162
161	1189	6153
162	1196	6143
163	1203	6134
164	1210	6128
165	1217	6117
166	1224	6108
167	1231	6100
168	1238	6090
169	1245	6080
170	1252	6071
171	1259	6063
172	1266	6054
173	1273	6046
174	1280	6037
175	1287	6028
176	1294	6019
177	1301	6011
178	1308	6002
179	1315	5993
180	1323	5987
181	1331	5984
182	1339	5980
183	1347	5974
184	1354	5966
185	1361	5959
186	1368	5950
187	1375	5941
188	1382	5932
189	1390	5928
190	1397	5918
191	1404	5910
192	1411	5901
193	1418	5893
194	1425	5883
195	1432	5875
196	1439	5866
197	1446	5857
198	1453	5849
199	1460	5840
200	1467	5834
201	1487	5877
202	1497	5879
203	1504	5871
204	1511	5863
205	1518	5854
206	1525	5845
207	1532	5836
208	1539	5826
209	1546	5817
210	1553	5809
211	1560	5801
212	1567	5793
213	1574	5784
214	1582	5776
215	1589	5768
216	1598	5767
217	1604	5754
218	1611	5747
219	1618	5738
220	1625	5729
221	1632	5720
222	1642	5723
223	1658	5745
